Timestamp,Professional_Specialization,Experience_Years,Dietary_Recommendation_Frequency,Different_Guidelines_for_Elderly,Common_Complications_Elderly,Nutrition_Challenges,Portion_Control_Importance,Used_Digital_Tool,Diagnosis_Method,FBS_Stages,Postprandial_Blood_Sugar_Levels,HbA1c_Threshold,Blood_Sugar_Control_Assessment,Dietary_Lifestyle_Factors,System_Alignment_With_Guidelines,Belief_in_Traditional_Foods,Scientific_Validity_of_Traditional_Foods,Excluded_Food_Categories,Patient_Inquiry_Traditional_Foods,Recommend_Traditional_Food_Plan,Suitability_of_Traditional_Foods,Importance_of_Traditional_Rice,Importance_of_Traditional_Grains,Importance_of_Herbal_Porridges,Importance_of_Vegetables_Leafy_Greens,Importance_of_Traditional_Curries,Importance_of_Herbal_Drinks,Importance_of_Traditional_Snacks,System_Accuracy_for_Health_Conditions,Additional_Health_Conditions,Importance_of_Personalized_Adjustments,System_Navigation_Ease,Factors_for_System_Adoption,Obstacles_for_System_Use,Accuracy_of_Recommended_Meals,Likelihood_to_Recommend_System,Willingness_for_Research_Collaboration,Suitability_of_Website_for_Recommendations,Use_System_as_Reference_Tool,Trust_Factors_for_ML_Recommendation
2025/03/17 15:20:56 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,Nerve Damage (Diabetic Neuropathy);High Blood Pressure (Hypertension);Vision Problems (Diabetic Retinopathy),Limited access to healthy food,Very Important,No,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns","Food choices & portion sizes;Traditional Ayurvedic dietary principles (e.g., Dosha balance);Glycemic Index of foods",Fully Aligned,4,Highly Valid,High-Glycemic Index Foods;High-Fat Traditional Foods,4,Very Likely,4,Very Important,Very Important,Important,Important,Important,Important,Very Important,4,Cholesterol Issues;High Blood Pressure;Kidney Disease,4,Very Easy,Community Awareness,Resistance to Dietary Changes;Cost of Recommended Foods;Technological Limitations,4,4,Yes,Very Suitable,Maybe,Healthcare Professional Validation
2025/03/06 14:06:47 AM GMT+5:30,Ayurvedic Doctor,11–20 years,Often,Slightly Different,Heart Disease;Kidney Disease,Difficulty chewing or swallowing,Very Important,Maybe,,,,,"Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns","Food choices & portion sizes;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency;Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Fully Aligned,5,Highly Valid,High-Glycemic Index Foods,4,Likely,5,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,Cholesterol Issues,5,Easy,Doctor Recommendation;Easy Access & Use;Community Awareness,Technological Limitations,4,4,Yes,Very Suitable,Yes,Healthcare Professional Validation;Scientific Research
2025/03/18 0:49:38 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,Vision Problems (Diabetic Retinopathy);High Blood Pressure (Hypertension),Difficulty chewing or swallowing;Limited access to healthy food,Very Important,Maybe,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Glycemic Index of foods;Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Well Aligned,5,Valid,Processed Sri Lankan Foods;Dairy-Based Foods,5,Likely,4,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,5,High Blood Pressure,4,Very Easy,Doctor Recommendation;Easy Access & Use,Technological Limitations,4,4,Yes,Very Suitable,Yes,Scientific Research;Healthcare Professional Validation
2025/03/16 15:43:57 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,High Blood Pressure (Hypertension);Heart Disease;Nerve Damage (Diabetic Neuropathy);Vision Problems (Diabetic Retinopathy);Kidney Disease,Limited access to healthy food;Difficulty controlling portion sizes,Very Important,Maybe,,,,,"Evaluating dietary habits & meal patterns;Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Glycemic Index of foods;Meal timing & frequency;Food choices & portion sizes;Specific health conditions (e.g., kidney disease, heart disease, digestive issues)",Well Aligned,4,Highly Valid,High-Glycemic Index Foods,4,Likely,4,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,4,High Blood Pressure;Kidney Disease;Cholesterol Issues,4,Very Easy,Easy Access & Use;Doctor Recommendation,Cost of Recommended Foods;Technological Limitations,4,4,Yes,Suitable,Maybe,User Success Stories
2025/03/09 1:29:16 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Often,Moderately Different,Heart Disease;Nerve Damage (Diabetic Neuropathy),Difficulty chewing or swallowing;Limited access to healthy food,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Food choices & portion sizes;Meal timing & frequency",Fully Aligned,5,Highly Valid,High-Fat Traditional Foods;Dairy-Based Foods;Processed Sri Lankan Foods,4,Very Likely,5,Very Important,Very Important,Very Important,Important,Important,Important,Important,4,Kidney Disease;Cholesterol Issues;High Blood Pressure,5,Very Easy,Easy Access & Use;Family Encouragement,Lack of Awareness,4,4,Yes,Very Suitable,Maybe,Scientific Research
2025/03/18 4:21:02 AM GMT+5:30,Ayurvedic Doctor,11–20 years,Always,Moderately Different,High Blood Pressure (Hypertension);Kidney Disease;Nerve Damage (Diabetic Neuropathy),Difficulty chewing or swallowing,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Glycemic Index of foods;Meal timing & frequency;Food choices & portion sizes;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Neutral,4,Highly Valid,High-Fat Traditional Foods;Processed Sri Lankan Foods;Dairy-Based Foods;High-Glycemic Index Foods,4,Likely,5,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,4,High Blood Pressure,5,Easy,Community Awareness;Family Encouragement,Lack of Awareness;Technological Limitations;Cost of Recommended Foods,4,4,Yes,Very Suitable,Maybe,Scientific Research
2025/03/14 10:53:07 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Often,Moderately Different,High Blood Pressure (Hypertension);Vision Problems (Diabetic Retinopathy);Heart Disease;Nerve Damage (Diabetic Neuropathy);Kidney Disease,Limited access to healthy food;Difficulty chewing or swallowing,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Food choices & portion sizes;Meal timing & frequency;Glycemic Index of foods",Fully Aligned,4,Valid,High-Glycemic Index Foods,3,Very Likely,5,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,4,Cholesterol Issues,5,Very Easy,Community Awareness;Doctor Recommendation,Lack of Awareness;Technological Limitations,4,5,Yes,Suitable,Maybe,User Success Stories;Healthcare Professional Validation
2025/03/16 20:19:53 PM GMT+5:30,Ayurvedic Doctor,11–20 years,Always,Significantly Different,Kidney Disease,Difficulty preparing meals,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Food choices & portion sizes;Traditional Ayurvedic dietary principles (e.g., Dosha balance);Glycemic Index of foods",Well Aligned,5,Highly Valid,Processed Sri Lankan Foods,4,Very Likely,5,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,4,Kidney Disease,5,Easy,Community Awareness,Lack of Awareness;Resistance to Dietary Changes;Technological Limitations,4,5,Yes,Suitable,Maybe,Scientific Research;User Success Stories
2025/03/01 9:27:15 PM GMT+5:30,Ayurvedic Doctor,11–20 years,Often,Moderately Different,Vision Problems (Diabetic Retinopathy);Nerve Damage (Diabetic Neuropathy);Kidney Disease;High Blood Pressure (Hypertension);Heart Disease,Lack of awareness of healthy foods,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Glycemic Index of foods;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency",Fully Aligned,3,Valid,Dairy-Based Foods,5,Likely,4,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,4,Cholesterol Issues;High Blood Pressure,5,Easy,Family Encouragement,Resistance to Dietary Changes;Technological Limitations;Cost of Recommended Foods,4,5,Yes,Suitable,Yes,User Success Stories;Scientific Research
2025/03/17 10:55:14 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Often,Moderately Different,Heart Disease;Nerve Damage (Diabetic Neuropathy);Kidney Disease;Vision Problems (Diabetic Retinopathy),Difficulty preparing meals;Difficulty controlling portion sizes;Lack of awareness of healthy foods,Very Important,No,,,,,Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Evaluating dietary habits & meal patterns,"Traditional Ayurvedic dietary principles (e.g., Dosha balance);Meal timing & frequency;Food choices & portion sizes;Glycemic Index of foods;Specific health conditions (e.g., kidney disease, heart disease, digestive issues)",Well Aligned,5,Highly Valid,Dairy-Based Foods;Processed Sri Lankan Foods;High-Glycemic Index Foods,3,Very Likely,5,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,4,Kidney Disease;Cholesterol Issues;High Blood Pressure,4,Very Easy,Family Encouragement;Community Awareness;Doctor Recommendation,Lack of Awareness,4,5,Yes,Very Suitable,Yes,Healthcare Professional Validation;User Success Stories
2025/03/10 16:43:39 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,High Blood Pressure (Hypertension);Heart Disease;Kidney Disease;Nerve Damage (Diabetic Neuropathy);Vision Problems (Diabetic Retinopathy),Limited access to healthy food;Difficulty controlling portion sizes;Difficulty chewing or swallowing,Very Important,No,,,,,"Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports)","Glycemic Index of foods;Meal timing & frequency;Food choices & portion sizes;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Well Aligned,5,Valid,High-Fat Traditional Foods,4,Very Likely,5,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,4,Cholesterol Issues,4,Very Easy,Easy Access & Use;Family Encouragement;Doctor Recommendation,Cost of Recommended Foods,4,5,Yes,Suitable,Yes,User Success Stories;Healthcare Professional Validation
2025/03/01 13:25:22 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,Kidney Disease;Vision Problems (Diabetic Retinopathy);Heart Disease,Lack of awareness of healthy foods;Difficulty controlling portion sizes;Difficulty chewing or swallowing,Important,No,,,,,"Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Glycemic Index of foods;Food choices & portion sizes;Meal timing & frequency",Fully Aligned,4,Valid,High-Fat Traditional Foods;Dairy-Based Foods,4,Very Likely,4,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,4,Kidney Disease,4,Very Easy,Doctor Recommendation,Lack of Awareness,4,4,Yes,Suitable,Yes,Healthcare Professional Validation
2025/03/15 4:01:00 AM GMT+5:30,Ayurvedic Doctor,11–20 years,Always,Moderately Different,Vision Problems (Diabetic Retinopathy);High Blood Pressure (Hypertension),Difficulty preparing meals,Very Important,No,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency;Food choices & portion sizes",Fully Aligned,4,Highly Valid,Processed Sri Lankan Foods;Dairy-Based Foods;High-Glycemic Index Foods;High-Fat Traditional Foods,4,Very Likely,5,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,4,Cholesterol Issues;High Blood Pressure,5,Easy,Easy Access & Use;Family Encouragement,Resistance to Dietary Changes;Cost of Recommended Foods;Technological Limitations,3,4,Yes,Suitable,Yes,User Success Stories
2025/03/15 23:17:38 PM GMT+5:30,Ayurvedic Doctor,11–20 years,Always,Moderately Different,Vision Problems (Diabetic Retinopathy);High Blood Pressure (Hypertension),Difficulty chewing or swallowing;Limited access to healthy food;Difficulty preparing meals,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Food choices & portion sizes;Meal timing & frequency;Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Well Aligned,4,Valid,High-Glycemic Index Foods;Processed Sri Lankan Foods;Dairy-Based Foods;High-Fat Traditional Foods,4,Very Likely,4,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,High Blood Pressure;Kidney Disease,4,Very Easy,Community Awareness;Doctor Recommendation,Technological Limitations,5,4,Yes,Suitable,Maybe,User Success Stories;Healthcare Professional Validation
2025/03/05 21:12:29 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Often,Moderately Different,High Blood Pressure (Hypertension);Nerve Damage (Diabetic Neuropathy),Lack of awareness of healthy foods;Difficulty controlling portion sizes,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency;Glycemic Index of foods;Food choices & portion sizes",Well Aligned,5,Highly Valid,Dairy-Based Foods;High-Glycemic Index Foods;Processed Sri Lankan Foods,4,Very Likely,4,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,Cholesterol Issues;High Blood Pressure,4,Very Easy,Community Awareness,Resistance to Dietary Changes,4,5,Yes,Suitable,Maybe,Scientific Research;Healthcare Professional Validation
2025/03/01 3:34:46 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,Vision Problems (Diabetic Retinopathy);Kidney Disease;High Blood Pressure (Hypertension);Nerve Damage (Diabetic Neuropathy),Difficulty controlling portion sizes;Difficulty preparing meals,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports)","Glycemic Index of foods;Meal timing & frequency;Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Food choices & portion sizes",Fully Aligned,5,Highly Valid,Processed Sri Lankan Foods;High-Fat Traditional Foods;High-Glycemic Index Foods;Dairy-Based Foods,3,Likely,5,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,4,Kidney Disease;High Blood Pressure;Cholesterol Issues,4,Easy,Family Encouragement,Cost of Recommended Foods;Resistance to Dietary Changes,4,5,Yes,Suitable,Maybe,Healthcare Professional Validation;Scientific Research
2025/03/08 13:24:15 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,High Blood Pressure (Hypertension),Difficulty preparing meals,Very Important,No,,,,,Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Evaluating dietary habits & meal patterns,"Traditional Ayurvedic dietary principles (e.g., Dosha balance);Food choices & portion sizes;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Glycemic Index of foods;Meal timing & frequency",Well Aligned,5,Valid,Dairy-Based Foods;Processed Sri Lankan Foods,4,Likely,4,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,4,Cholesterol Issues;Kidney Disease,5,Easy,Community Awareness;Easy Access & Use,Cost of Recommended Foods;Lack of Awareness,3,4,Maybe,Very Suitable,Maybe,User Success Stories;Healthcare Professional Validation
2025/03/10 16:42:53 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,Kidney Disease;Heart Disease;Nerve Damage (Diabetic Neuropathy);Vision Problems (Diabetic Retinopathy),Difficulty chewing or swallowing,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency",Well Aligned,5,Valid,High-Fat Traditional Foods;High-Glycemic Index Foods;Processed Sri Lankan Foods,4,Very Likely,5,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,4,Kidney Disease,4,Very Easy,Family Encouragement,Cost of Recommended Foods,4,5,Yes,Suitable,Yes,User Success Stories;Healthcare Professional Validation
