Timestamp,  What is your professional specialization?  ,How many years of experience do you have in treating/managing diabetic patients? ,How often do you provide dietary recommendations to elderly diabetic patients?, Do elderly diabetic patients require different dietary guidelines compared to younger adults with diabetes?  ,What are the most common diabetes-related complications you observe in elderly patients? ,What challenges do elderly diabetics face in maintaining proper nutrition? ,How important is portion control in meal planning for elderly diabetic patients? ,Have you ever used a digital tool or app to provide dietary recommendations for elderly diabetic patients? ,What is your primary method for diagnosing diabetes in elderly patients? ,"In your professional opinion, what fasting blood sugar (FBS) level indicates different stages of diabetes? ",What postprandial blood sugar (after meals) level do you consider normal or concerning?,What HbA1c percentage do you consider well-managed for elderly diabetics?,How do you assess blood sugar control in elderly diabetic patients? ,What dietary or lifestyle factors do you consider when recommending meal plans for elderly diabetics? ,How well does the system align with existing dietary guidelines for elderly diabetics? ,  Do you believe Sri Lankan traditional foods can be effectively integrated into structured diabetes-friendly meal plans? ,How scientifically valid do you consider the inclusion of traditional Sri Lankan foods in diabetes management? ,Which food categories should be excluded from the system due to their potential negative effects on diabetic patients? , How frequently do your patients inquire about traditional foods for diabetes management?  , Would you recommend a personalized meal plan based on traditional Sri Lankan foods for diabetic patients?  ,"In your opinion, how suitable are traditional Sri Lankan foods for elderly people with diabetes?  ","How important is it to include traditional Sri Lankan rice varieties in a diabetes-friendly meal plan? (e.g., Red Raw Rice, Heenati Rice, Suwandel Rice, Pachchaperumal Rice)","How important is it to include traditional Sri Lankan grains & cereals in a diabetes meal plan? (e.g., Kurakkan (Finger Millet), Meneri (Foxtail Millet), Thana Hal (Sorghum), Maize (Corn))","How important is it to include herbal porridges in diabetes meal plans for elderly individuals? (e.g., Gotu Kola Kenda, Polpala Kenda, Hathawariya Kenda)","How important is it to include traditional Sri Lankan vegetables & leafy greens in a diabetes meal plan? (e.g., Gotu Kola Sambol, Murunga Kola Mallum, Kohila Mallum)","How important is it to include traditional Sri Lankan curries & dishes in diabetes meal plans? (e.g., Kollu (Horse Gram Curry), Dhal Curry, Green Gram Curry, Jackfruit Seeds Curry)","How important is it to include herbal drinks in a diabetes-friendly meal plan? (e.g., Beli Mal Tea, Ranawara Tea, Coriander Tea (Koththamalli))","How important is it to include traditional Sri Lankan snacks in diabetes-friendly diets? (e.g., Roasted Gram (Kadala), Boiled Jackfruit Seeds (Kos Ata), Thala Guli (Sesame Balls))","How accurately does the system consider individual health conditions when generating meal recommendations? (e.g., hypertension, kidney disease, cholesterol issues)?  ",What additional health conditions should be integrated into meal plan adjustments?  , How important is it that the system allows personalized adjustments to meal plans?  ,How easy is it for elderly diabetics to navigate and use the system? ,What factors could increase the adoption of this system among elderly diabetics?  ,What are the main obstacles that might prevent elderly diabetics from using the system effectively? ,"Based on your expertise, How would you rate the accuracy of the system’s recommended meals in meeting the nutritional and health needs of elderly diabetics? ",How likely are you to recommend this system to diabetic patients if improvements are made based on expert feedback? ,Would you be willing to collaborate in future research for refining this system? ,How suitable do you think a website would be for delivering meal recommendations to elderly diabetic users?  ,Would you be willing to use this system as a reference tool when advising diabetic patients?  ,What would make you more likely to trust in Machine Learning based food recommendation system?
2025/03/16 1:02:14 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,Kidney Disease;Nerve Damage (Diabetic Neuropathy);Heart Disease;High Blood Pressure (Hypertension);Vision Problems (Diabetic Retinopathy),Difficulty preparing meals;Difficulty controlling portion sizes,Very Important,No,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns;Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports)",Food choices & portion sizes;Glycemic Index of foods;Meal timing & frequency,Well Aligned,5,Highly Valid,Processed Sri Lankan Foods;Dairy-Based Foods,5,Very Likely,5,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,4,High Blood Pressure;Kidney Disease;Cholesterol Issues,4,Very Easy,Easy Access & Use,Technological Limitations,4,4,Yes,Suitable,Yes,User Success Stories;Scientific Research
2025/03/08 22:37:15 PM GMT+5:30,Ayurvedic Doctor,11–20 years,Always,Slightly Different,Nerve Damage (Diabetic Neuropathy);Heart Disease;Vision Problems (Diabetic Retinopathy),Limited access to healthy food,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Evaluating dietary habits & meal patterns;Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency;Food choices & portion sizes;Glycemic Index of foods",Neutral,4,Highly Valid,Dairy-Based Foods,4,Likely,5,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,5,Kidney Disease;High Blood Pressure;Cholesterol Issues,5,Easy,Easy Access & Use,Lack of Awareness,5,4,Yes,Suitable,Yes,Scientific Research
2025/03/03 7:01:05 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,High Blood Pressure (Hypertension);Nerve Damage (Diabetic Neuropathy);Vision Problems (Diabetic Retinopathy);Kidney Disease,Difficulty controlling portion sizes;Limited access to healthy food,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns","Food choices & portion sizes;Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency",Well Aligned,5,Valid,High-Glycemic Index Foods,5,Very Likely,5,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,High Blood Pressure,4,Easy,Community Awareness,Cost of Recommended Foods;Resistance to Dietary Changes,4,5,Yes,Suitable,Maybe,User Success Stories;Scientific Research
2025/03/09 15:13:01 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,High Blood Pressure (Hypertension),Difficulty preparing meals;Difficulty chewing or swallowing,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns","Glycemic Index of foods;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Food choices & portion sizes;Meal timing & frequency;Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Well Aligned,5,Highly Valid,Processed Sri Lankan Foods;Dairy-Based Foods,4,Likely,5,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,Kidney Disease;Cholesterol Issues,5,Easy,Doctor Recommendation;Community Awareness;Family Encouragement,Resistance to Dietary Changes;Lack of Awareness;Cost of Recommended Foods,4,4,Yes,Very Suitable,Yes,Scientific Research
2025/03/12 0:20:24 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Often,Significantly Different,Nerve Damage (Diabetic Neuropathy);Heart Disease;Kidney Disease;Vision Problems (Diabetic Retinopathy),Limited access to healthy food,Very Important,No,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns;Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports)",Meal timing & frequency;Food choices & portion sizes;Glycemic Index of foods,Neutral,4,Highly Valid,Dairy-Based Foods;High-Fat Traditional Foods;High-Glycemic Index Foods,3,Likely,5,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,4,Cholesterol Issues;Kidney Disease,5,Easy,Family Encouragement;Community Awareness;Easy Access & Use,Lack of Awareness;Cost of Recommended Foods,5,5,Yes,Suitable,Yes,Scientific Research
2025/03/09 1:56:24 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,Kidney Disease;Nerve Damage (Diabetic Neuropathy);High Blood Pressure (Hypertension);Vision Problems (Diabetic Retinopathy),Difficulty controlling portion sizes;Lack of awareness of healthy foods,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Food choices & portion sizes;Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues)",Well Aligned,5,Highly Valid,High-Fat Traditional Foods;Processed Sri Lankan Foods,3,Likely,4,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,4,High Blood Pressure,5,Easy,Easy Access & Use;Doctor Recommendation;Family Encouragement,Technological Limitations,4,5,Maybe,Suitable,Maybe,Scientific Research
2025/03/02 22:59:52 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,Heart Disease;Kidney Disease;High Blood Pressure (Hypertension);Vision Problems (Diabetic Retinopathy),Difficulty chewing or swallowing;Difficulty preparing meals;Lack of awareness of healthy foods,Very Important,Maybe,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Evaluating dietary habits & meal patterns","Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Traditional Ayurvedic dietary principles (e.g., Dosha balance);Food choices & portion sizes",Well Aligned,5,Highly Valid,High-Glycemic Index Foods;Dairy-Based Foods;High-Fat Traditional Foods;Processed Sri Lankan Foods,4,Likely,5,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,4,Kidney Disease;High Blood Pressure,4,Easy,Family Encouragement,Cost of Recommended Foods,4,4,Yes,Suitable,Maybe,Scientific Research
2025/03/11 15:20:31 AM GMT+5:30,Ayurvedic Doctor,11–20 years,Always,Moderately Different,High Blood Pressure (Hypertension);Vision Problems (Diabetic Retinopathy),Lack of awareness of healthy foods,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Glycemic Index of foods;Food choices & portion sizes;Traditional Ayurvedic dietary principles (e.g., Dosha balance);Meal timing & frequency",Neutral,5,Valid,High-Glycemic Index Foods;Dairy-Based Foods;Processed Sri Lankan Foods,5,Likely,4,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,5,Kidney Disease;Cholesterol Issues,4,Very Easy,Doctor Recommendation;Easy Access & Use;Community Awareness,Technological Limitations;Lack of Awareness,4,5,Yes,Suitable,Yes,Healthcare Professional Validation
2025/03/19 5:51:44 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Often,Significantly Different,Kidney Disease;High Blood Pressure (Hypertension);Nerve Damage (Diabetic Neuropathy);Vision Problems (Diabetic Retinopathy);Heart Disease,Difficulty controlling portion sizes,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Evaluating dietary habits & meal patterns","Glycemic Index of foods;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Traditional Ayurvedic dietary principles (e.g., Dosha balance);Meal timing & frequency;Food choices & portion sizes",Well Aligned,4,Valid,Dairy-Based Foods,4,Likely,5,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,4,High Blood Pressure;Cholesterol Issues,5,Easy,Easy Access & Use;Family Encouragement;Community Awareness,Cost of Recommended Foods,4,5,Yes,Suitable,Yes,User Success Stories;Scientific Research
2025/03/08 13:58:18 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,Heart Disease;Kidney Disease;Vision Problems (Diabetic Retinopathy);High Blood Pressure (Hypertension);Nerve Damage (Diabetic Neuropathy),Lack of awareness of healthy foods,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Glycemic Index of foods",Well Aligned,4,Highly Valid,Processed Sri Lankan Foods,4,Likely,5,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,Cholesterol Issues;High Blood Pressure;Kidney Disease,5,Very Easy,Easy Access & Use;Doctor Recommendation;Community Awareness,Technological Limitations;Resistance to Dietary Changes;Cost of Recommended Foods,4,4,Yes,Suitable,Yes,Scientific Research
2025/03/06 8:09:28 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,High Blood Pressure (Hypertension);Kidney Disease;Heart Disease;Vision Problems (Diabetic Retinopathy),Difficulty preparing meals;Difficulty chewing or swallowing;Lack of awareness of healthy foods,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only)","Glycemic Index of foods;Meal timing & frequency;Specific health conditions (e.g., kidney disease, heart disease, digestive issues)",Well Aligned,5,Highly Valid,Processed Sri Lankan Foods;High-Fat Traditional Foods;Dairy-Based Foods;High-Glycemic Index Foods,4,Likely,4,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,High Blood Pressure;Kidney Disease;Cholesterol Issues,5,Very Easy,Family Encouragement;Community Awareness;Doctor Recommendation,Lack of Awareness;Cost of Recommended Foods;Technological Limitations,5,5,Yes,Suitable,Maybe,Healthcare Professional Validation;User Success Stories
2025/03/06 3:09:50 AM GMT+5:30,Ayurvedic Doctor,6–10 years,Always,Moderately Different,Kidney Disease;Vision Problems (Diabetic Retinopathy),Difficulty preparing meals;Difficulty controlling portion sizes,Very Important,No,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Evaluating dietary habits & meal patterns","Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency;Glycemic Index of foods",Well Aligned,4,Valid,Processed Sri Lankan Foods;High-Glycemic Index Foods;Dairy-Based Foods;High-Fat Traditional Foods,4,Very Likely,5,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,4,Kidney Disease;High Blood Pressure;Cholesterol Issues,4,Easy,Community Awareness,Cost of Recommended Foods,4,4,Yes,Suitable,Maybe,Healthcare Professional Validation;User Success Stories
2025/03/08 0:56:01 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,High Blood Pressure (Hypertension);Kidney Disease;Heart Disease,Difficulty chewing or swallowing;Lack of awareness of healthy foods,Very Important,No,,,,,Evaluating dietary habits & meal patterns;Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only),"Food choices & portion sizes;Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Glycemic Index of foods",Fully Aligned,4,Valid,High-Fat Traditional Foods;Processed Sri Lankan Foods;High-Glycemic Index Foods,3,Likely,5,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,4,High Blood Pressure,4,Easy,Easy Access & Use;Community Awareness,Lack of Awareness;Resistance to Dietary Changes;Technological Limitations,4,5,Yes,Very Suitable,Yes,User Success Stories
2025/03/08 5:50:24 AM GMT+5:30,Ayurvedic Doctor,11–20 years,Often,Moderately Different,Vision Problems (Diabetic Retinopathy);Nerve Damage (Diabetic Neuropathy);High Blood Pressure (Hypertension);Kidney Disease;Heart Disease,Difficulty chewing or swallowing,Very Important,No,,,,,"Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Traditional Ayurvedic dietary principles (e.g., Dosha balance);Meal timing & frequency",Well Aligned,4,Highly Valid,Dairy-Based Foods,4,Likely,5,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,4,High Blood Pressure;Kidney Disease,5,Easy,Easy Access & Use;Community Awareness,Resistance to Dietary Changes,3,4,Yes,Suitable,Yes,Scientific Research
2025/03/17 8:30:42 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Often,Significantly Different,Kidney Disease;Nerve Damage (Diabetic Neuropathy);Heart Disease;Vision Problems (Diabetic Retinopathy);High Blood Pressure (Hypertension),Difficulty preparing meals;Limited access to healthy food;Difficulty controlling portion sizes,Very Important,No,,,,,"Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports);Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Specific health conditions (e.g., kidney disease, heart disease, digestive issues);Meal timing & frequency;Food choices & portion sizes;Glycemic Index of foods",Well Aligned,5,Valid,High-Fat Traditional Foods;Dairy-Based Foods,4,Likely,5,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,4,High Blood Pressure;Cholesterol Issues;Kidney Disease,4,Easy,Community Awareness;Doctor Recommendation,Cost of Recommended Foods;Resistance to Dietary Changes;Lack of Awareness,3,5,Yes,Suitable,Maybe,User Success Stories
2025/03/08 20:35:07 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,Heart Disease;High Blood Pressure (Hypertension);Kidney Disease;Nerve Damage (Diabetic Neuropathy),Difficulty preparing meals;Limited access to healthy food;Lack of awareness of healthy foods,Very Important,No,,,,,"Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports)","Food choices & portion sizes;Glycemic Index of foods;Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Well Aligned,4,Highly Valid,Processed Sri Lankan Foods,4,Likely,4,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,5,High Blood Pressure;Cholesterol Issues;Kidney Disease,5,Very Easy,Community Awareness;Family Encouragement;Doctor Recommendation,Cost of Recommended Foods;Technological Limitations;Resistance to Dietary Changes,4,4,Yes,Suitable,Yes,Healthcare Professional Validation;Scientific Research
2025/03/03 23:07:47 AM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Moderately Different,Nerve Damage (Diabetic Neuropathy);Vision Problems (Diabetic Retinopathy);Heart Disease;High Blood Pressure (Hypertension);Kidney Disease,Difficulty preparing meals;Limited access to healthy food;Difficulty controlling portion sizes,Very Important,No,,,,,"Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Evaluating dietary habits & meal patterns;Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness);Reviewing blood sugar readings provided by the patient (Self-monitoring logs, lab reports)","Food choices & portion sizes;Glycemic Index of foods;Meal timing & frequency;Traditional Ayurvedic dietary principles (e.g., Dosha balance)",Well Aligned,4,Highly Valid,High-Glycemic Index Foods;Processed Sri Lankan Foods;Dairy-Based Foods;High-Fat Traditional Foods,4,Likely,4,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,5,Kidney Disease;Cholesterol Issues;High Blood Pressure,5,Very Easy,Community Awareness;Family Encouragement,Lack of Awareness,4,5,Yes,Very Suitable,Yes,Scientific Research;User Success Stories
2025/03/06 0:59:54 PM GMT+5:30,Ayurvedic Doctor,More than 20 years,Always,Significantly Different,Kidney Disease;Heart Disease;Vision Problems (Diabetic Retinopathy);High Blood Pressure (Hypertension);Nerve Damage (Diabetic Neuropathy),Difficulty chewing or swallowing;Difficulty controlling portion sizes;Limited access to healthy food,Very Important,No,,,,,"Evaluating dietary habits & meal patterns;Using Ayurvedic pulse diagnosis (Nadi Pariksha) (For Ayurvedic Doctors Only);Based on patient-reported symptoms (e.g., fatigue, thirst, dizziness)","Traditional Ayurvedic dietary principles (e.g., Dosha balance);Meal timing & frequency;Glycemic Index of foods;Specific health conditions (e.g., kidney disease, heart disease, digestive issues)",Well Aligned,5,Highly Valid,High-Fat Traditional Foods;Processed Sri Lankan Foods,4,Likely,4,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,4,Kidney Disease;Cholesterol Issues;High Blood Pressure,5,Very Easy,Easy Access & Use;Doctor Recommendation;Community Awareness,Lack of Awareness;Resistance to Dietary Changes;Technological Limitations,5,4,Yes,Suitable,Maybe,Healthcare Professional Validation;User Success Stories
